date,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M_RANGE,WS10M,WD10M,WS10M_MAX,WS10M_MIN
2004-10-01,27.71,24.14,25.92,27.69,8.12,31.55,23.43,18.75,81.84,0.09,101.04,1.45,1.11,290.7,1.78,0.33
2004-10-02,27.08,24.67,25.87,27.02,5.55,29.92,24.37,19.35,86.95,0.78,100.99,0.91,1.5,100.0,1.84,0.93
2004-10-03,26.4,25.03,25.71,26.37,4.31,28.94,24.63,19.77,92.27,1.63,100.97,1.56,2.04,191.6,2.83,1.27
2004-10-04,25.91,24.35,25.13,25.94,4.2,28.47,24.27,19.0,91.27,5.65,100.84,3.65,2.31,128.1,3.89,0.24
2004-10-05,26.14,25.37,25.76,26.01,3.11,27.65,24.54,20.26,95.4,29.58,100.65,3.14,4.5,151.6,6.19,3.05
2004-10-06,26.38,25.63,26.0,26.18,2.91,27.94,25.03,20.55,95.54,29.56,100.8,3.39,4.46,153.8,5.99,2.6
2004-10-07,25.69,24.85,25.27,25.44,2.33,27.12,24.79,19.64,94.97,64.42,100.58,6.28,7.28,124.9,10.74,4.46
2004-10-08,25.54,24.33,24.94,25.29,5.24,27.96,22.72,19.09,92.98,24.09,100.45,9.01,6.97,191.3,10.63,1.62
2004-10-09,26.05,23.27,24.66,26.04,7.1,29.49,22.39,17.8,85.14,1.97,100.94,1.13,1.44,273.8,1.95,0.82
2004-10-10,26.75,23.15,24.95,26.36,7.35,30.39,23.04,17.63,81.13,0.0,101.11,1.29,1.54,4.2,2.11,0.82
2004-10-11,26.61,23.52,25.06,26.43,7.84,30.42,22.58,18.06,83.58,0.58,101.07,1.28,1.77,354.8,2.49,1.21
2004-10-12,26.46,23.76,25.11,26.42,7.58,30.46,22.88,18.31,85.73,1.01,101.07,0.98,2.3,339.2,2.83,1.85
2004-10-13,26.1,22.99,24.55,26.17,7.04,29.87,22.83,17.45,83.82,2.41,101.17,1.79,1.42,171.9,2.2,0.41
2004-10-14,26.17,23.21,24.69,26.19,5.24,29.23,23.99,17.68,84.25,8.03,101.13,1.03,1.06,105.0,1.55,0.52
2004-10-15,25.23,22.62,23.92,25.41,6.67,29.0,22.33,17.08,85.94,22.48,101.0,5.45,1.82,7.2,5.63,0.18
2004-10-16,23.49,20.98,22.23,23.72,7.86,27.92,20.06,15.45,86.5,0.1,101.04,4.12,3.65,327.7,6.2,2.08
2004-10-17,23.49,20.63,22.06,23.8,9.88,28.64,18.76,15.1,84.95,0.0,101.18,1.68,2.39,341.9,3.23,1.55
2004-10-18,24.35,21.48,22.92,24.58,9.54,29.13,19.59,15.93,84.98,0.0,101.13,1.33,2.05,338.0,2.89,1.56
2004-10-19,24.79,22.01,23.4,24.99,9.32,29.72,20.4,16.47,85.41,0.0,101.06,1.38,2.29,323.3,3.13,1.75
2004-10-20,24.6,21.73,23.16,24.72,9.74,29.82,20.08,16.17,85.0,0.0,101.1,1.08,2.45,330.0,3.07,1.99
2004-10-21,24.05,21.49,22.77,24.23,9.26,28.97,19.71,15.92,86.34,0.0,101.2,1.74,2.48,327.7,3.27,1.53
2004-10-22,23.94,20.83,22.39,23.95,9.78,29.18,19.4,15.27,83.73,0.0,101.27,1.15,2.02,324.3,2.68,1.53
2004-10-23,23.69,20.53,22.11,23.51,9.1,28.62,19.52,14.99,83.37,0.04,101.25,1.11,2.3,334.0,2.9,1.79
2004-10-24,23.49,19.93,21.71,23.37,10.15,28.9,18.75,14.43,81.7,0.46,101.35,1.34,2.07,338.4,2.72,1.38
2004-10-25,23.73,20.19,21.96,23.69,10.56,29.41,18.85,14.66,81.91,0.07,101.4,1.53,1.92,331.0,2.65,1.12
2004-10-26,24.14,20.07,22.1,23.61,9.52,29.21,19.69,14.55,79.04,0.0,101.41,1.23,1.54,11.3,2.33,1.1
2004-10-27,23.9,20.16,22.03,23.42,9.16,28.82,19.66,14.63,80.48,0.01,101.32,1.21,1.86,5.1,2.46,1.25
2004-10-28,24.09,20.13,22.11,23.87,9.44,29.03,19.59,14.62,79.62,0.04,101.3,1.34,1.68,355.5,2.44,1.1
2004-10-29,23.93,20.2,22.07,23.76,9.43,28.8,19.37,14.68,80.75,0.46,101.32,2.22,1.81,14.3,2.55,0.33
2004-10-30,23.15,20.06,21.61,23.21,8.41,27.75,19.34,14.54,83.57,0.09,101.31,1.91,2.15,355.0,3.09,1.18
2004-10-31,21.98,19.35,20.66,22.07,10.1,27.64,17.54,13.93,86.19,0.01,101.23,1.01,2.86,338.4,3.39,2.38
2004-11-01,21.42,18.91,20.17,21.47,10.24,27.11,16.87,13.55,86.37,0.0,101.18,1.23,3.07,333.8,3.65,2.42
2004-11-02,21.15,18.42,19.79,21.12,10.66,26.87,16.21,13.13,85.09,0.0,101.2,1.59,2.71,322.5,3.31,1.72
2004-11-03,21.36,17.89,19.63,21.18,11.11,27.57,16.46,12.69,82.28,0.0,101.23,1.62,2.23,328.1,3.08,1.46
2004-11-04,21.69,18.19,19.94,21.57,11.06,27.36,16.3,12.94,81.83,0.0,101.23,2.0,1.97,335.8,2.79,0.79
2004-11-05,22.91,18.86,20.88,22.77,10.42,28.52,18.1,13.5,79.32,0.0,101.23,2.14,1.46,329.4,2.21,0.07
2004-11-06,23.3,19.22,21.26,23.07,9.49,28.31,18.82,13.81,79.02,0.0,101.21,1.96,1.33,292.1,2.37,0.41
2004-11-07,23.12,17.93,20.52,22.48,9.52,28.01,18.49,12.74,74.13,0.0,101.12,1.83,1.22,252.7,2.33,0.5
2004-11-08,23.53,18.05,20.79,22.65,8.1,27.75,19.65,12.84,72.01,0.0,101.13,1.59,0.96,321.9,1.7,0.11
2004-11-09,22.74,18.53,20.63,22.15,8.86,27.43,18.57,13.23,78.1,0.0,101.14,0.96,1.89,9.6,2.5,1.54
2004-11-10,21.34,17.65,19.49,21.04,8.44,26.1,17.66,12.5,80.43,0.0,101.25,1.21,2.53,2.3,3.09,1.88
2004-11-11,20.11,16.59,18.35,19.82,10.76,26.09,15.33,11.68,81.49,0.0,101.35,1.42,2.73,340.5,3.46,2.04
2004-11-12,20.05,16.51,18.28,19.57,11.28,26.09,14.81,11.6,81.58,0.0,101.48,1.23,2.3,345.0,2.86,1.63
2004-11-13,20.3,17.03,18.66,19.76,11.28,26.4,15.12,12.0,82.7,0.0,101.46,1.52,2.63,340.5,3.63,2.11
2004-11-14,20.85,17.02,18.94,19.64,9.51,26.17,16.66,12.0,79.79,0.0,101.41,1.81,1.52,349.8,2.23,0.42
2004-11-15,20.22,16.46,18.34,19.35,8.83,25.36,16.53,11.6,79.8,0.0,101.29,1.84,1.71,346.9,2.12,0.28
2004-11-16,20.78,16.56,18.67,19.78,9.88,26.28,16.4,11.67,77.86,0.0,101.26,1.6,1.36,350.7,2.07,0.47
2004-11-17,21.41,16.63,19.02,20.13,9.8,26.39,16.59,11.71,75.95,0.0,101.28,1.89,0.96,2.5,2.05,0.16
2004-11-18,21.96,17.33,19.64,20.64,8.87,26.42,17.55,12.27,75.59,0.0,101.24,1.29,0.79,323.3,1.6,0.31
2004-11-19,22.86,17.95,20.41,21.86,8.03,27.0,18.97,12.74,74.76,0.0,101.24,0.89,0.8,177.6,1.25,0.36
2004-11-20,21.87,18.71,20.29,21.43,9.89,26.85,16.96,13.36,82.94,0.0,101.35,1.29,2.03,32.6,2.64,1.35
2004-11-21,21.52,18.59,20.06,21.42,10.04,27.18,17.14,13.25,84.63,0.0,101.39,1.96,1.91,343.8,2.64,0.68
2004-11-22,22.01,17.42,19.72,21.01,9.52,26.94,17.42,12.31,76.95,0.0,101.34,2.18,0.8,351.9,2.38,0.2
2004-11-23,21.86,16.64,19.25,20.85,8.96,26.17,17.21,11.71,73.63,0.28,101.36,1.16,0.8,92.5,1.35,0.19
2004-11-24,21.27,16.7,18.99,20.74,8.85,25.99,17.14,11.75,76.71,0.46,101.41,2.04,1.4,85.1,2.17,0.13
2004-11-25,20.45,17.08,18.77,20.12,10.26,25.95,15.69,12.02,82.02,0.0,101.58,0.81,2.2,44.8,2.6,1.79
2004-11-26,20.67,16.74,18.7,20.08,11.23,26.5,15.27,11.77,79.54,0.0,101.54,0.77,2.1,15.5,2.43,1.66
2004-11-27,21.75,15.75,18.75,20.43,11.07,27.52,16.45,11.05,71.09,0.0,101.5,1.67,1.05,6.9,1.91,0.24
2004-11-28,20.6,15.89,18.25,20.05,11.37,26.92,15.55,11.15,76.08,0.29,101.54,1.75,2.05,331.1,2.78,1.03
2004-11-29,21.34,16.07,18.71,20.5,10.68,26.99,16.31,11.28,73.97,0.01,101.41,2.37,1.26,317.1,2.73,0.36
2004-11-30,21.62,16.22,18.92,20.4,9.36,26.87,17.51,11.39,72.45,0.0,101.34,1.25,1.27,19.6,1.84,0.59
2004-12-01,20.83,15.44,18.13,20.01,10.72,26.8,16.08,10.82,73.22,0.0,101.4,1.81,1.6,3.3,2.66,0.85
2004-12-02,19.83,15.0,17.41,19.56,11.16,26.11,14.95,10.5,75.62,0.0,101.65,1.75,1.95,1.2,2.92,1.17
2004-12-03,18.95,15.0,16.97,19.0,11.89,25.72,13.83,10.5,79.93,0.0,101.62,1.27,2.56,354.1,3.22,1.95
2004-12-04,19.46,14.23,16.85,18.86,12.3,26.17,13.87,10.02,73.95,0.0,101.44,2.2,1.61,0.0,2.89,0.69
2004-12-05,20.49,13.47,16.98,19.12,11.24,26.31,15.07,9.53,66.09,0.0,101.35,1.78,0.81,19.6,1.83,0.05
2004-12-06,20.29,13.92,17.1,19.34,11.13,26.35,15.22,9.8,68.63,0.0,101.53,2.55,1.31,43.1,2.59,0.04
2004-12-07,20.41,15.56,17.98,19.74,12.07,26.24,14.17,10.89,75.47,0.0,101.74,2.65,1.66,50.9,2.78,0.13
2004-12-08,20.91,15.65,18.28,20.11,10.33,26.09,15.76,10.96,73.47,0.0,101.57,1.6,0.98,122.2,1.77,0.17
2004-12-09,21.18,15.38,18.28,20.46,9.34,25.77,16.43,10.79,70.77,0.0,101.42,1.15,0.62,103.8,1.27,0.12
2004-12-10,21.05,15.95,18.5,20.56,10.55,26.1,15.55,11.18,74.08,0.0,101.51,1.59,1.35,75.4,2.12,0.53
2004-12-11,21.4,17.01,19.21,21.06,10.38,26.65,16.27,11.97,77.27,0.0,101.6,0.74,1.55,88.0,1.94,1.2
2004-12-12,21.39,17.04,19.22,20.96,11.72,27.28,15.56,11.97,77.73,0.0,101.67,2.34,1.6,49.0,2.36,0.02
2004-12-13,21.08,16.52,18.8,21.11,10.28,26.88,16.6,11.59,77.19,0.0,101.51,2.2,1.56,353.8,2.64,0.44
2004-12-14,20.63,16.5,18.56,20.77,10.24,26.4,16.16,11.61,78.92,0.0,101.23,1.28,2.17,341.3,2.67,1.39
2004-12-15,20.68,16.14,18.41,20.71,9.68,26.48,16.8,11.35,77.04,0.0,101.18,1.5,2.11,338.6,2.97,1.47
2004-12-16,20.7,16.11,18.41,20.49,11.67,26.8,15.13,11.32,76.87,0.0,101.25,1.6,1.96,339.3,2.78,1.18
2004-12-17,21.26,15.78,18.52,20.57,10.3,26.91,16.61,11.06,72.69,0.0,101.47,1.78,1.48,6.5,2.48,0.7
2004-12-18,20.65,15.04,17.85,19.87,10.21,26.24,16.03,10.56,72.42,0.0,101.39,1.9,1.21,353.8,2.52,0.62
2004-12-19,20.14,14.25,17.19,19.37,10.97,25.32,14.35,10.04,70.64,0.0,101.21,1.49,1.22,42.2,1.92,0.43
2004-12-20,19.7,14.29,17.0,19.84,9.14,24.86,15.72,10.07,72.56,0.0,101.15,1.86,1.47,103.0,2.15,0.29
2004-12-21,19.96,15.22,17.59,20.18,9.68,24.93,15.25,10.73,75.39,0.62,101.1,1.61,2.19,139.4,2.88,1.27
2004-12-22,20.51,16.17,18.34,20.74,9.84,25.78,15.94,11.39,78.04,0.4,101.15,2.52,1.72,79.3,2.83,0.31
2004-12-23,18.95,14.61,16.78,19.14,11.4,25.13,13.73,10.27,77.87,0.0,101.23,1.57,2.25,29.1,2.92,1.35
2004-12-24,18.89,14.88,16.89,19.01,11.66,25.14,13.48,10.45,79.21,0.0,101.38,1.56,2.31,18.1,3.04,1.48
2004-12-25,19.17,14.65,16.91,19.43,11.86,26.0,14.14,10.28,77.26,0.0,101.43,2.02,2.46,344.8,3.53,1.51
2004-12-26,16.87,10.89,13.88,17.13,11.86,23.79,11.93,8.1,71.48,0.0,101.28,1.63,3.05,323.1,3.77,2.14
2004-12-27,14.71,7.04,10.87,14.45,13.37,22.29,8.92,6.2,63.34,0.0,101.49,1.24,2.66,350.6,3.31,2.07
2004-12-28,14.65,7.82,11.24,14.43,13.79,22.55,8.76,6.54,67.0,0.0,101.46,1.69,2.07,335.7,3.04,1.35
2004-12-29,15.78,8.05,11.91,14.74,12.37,22.65,10.28,6.64,62.87,0.0,101.32,2.37,1.16,344.3,2.62,0.25
2004-12-30,16.64,9.18,12.91,15.48,12.3,23.27,10.97,7.17,63.62,0.0,101.29,2.29,1.1,347.0,2.6,0.31
2004-12-31,17.04,9.89,13.47,15.84,12.12,23.36,11.24,7.51,64.7,0.0,101.44,2.19,1.38,46.9,2.39,0.2
2005-01-01,17.35,11.26,14.31,16.85,13.26,24.27,11.01,8.23,69.57,0.0,101.46,2.02,1.68,12.2,2.43,0.41
2005-01-02,17.93,12.77,15.35,17.72,11.71,24.15,12.44,9.12,73.55,0.0,101.41,2.22,1.76,13.5,2.41,0.19
2005-01-03,19.22,13.76,16.49,18.94,10.58,25.31,14.73,9.72,72.33,0.0,101.32,2.34,1.77,344.0,3.06,0.72
2005-01-04,18.91,14.05,16.48,18.34,8.67,24.05,15.38,9.89,74.67,0.0,101.47,1.62,2.1,341.8,3.05,1.43
2005-01-05,18.49,13.15,15.82,18.47,12.82,25.96,13.14,9.32,73.34,0.0,101.52,1.19,2.84,347.9,3.43,2.24
2005-01-06,17.86,12.51,15.18,17.96,14.02,25.67,11.65,8.94,74.04,0.0,101.43,1.64,2.42,330.2,3.24,1.6
2005-01-07,17.6,12.69,15.14,17.73,13.62,25.33,11.71,9.05,75.89,0.0,101.36,1.04,2.87,330.0,3.3,2.26
2005-01-08,17.71,12.19,14.95,17.83,13.8,25.62,11.82,8.76,73.52,0.0,101.36,1.16,2.85,332.4,3.31,2.15
2005-01-09,16.88,11.4,14.14,17.09,11.97,23.81,11.84,8.33,72.88,0.0,101.25,1.25,2.63,315.9,3.12,1.87
2005-01-10,17.28,8.22,12.75,15.9,12.64,23.98,11.34,6.74,57.77,0.07,101.12,2.27,1.64,239.7,2.7,0.43
2005-01-11,17.39,12.14,14.76,17.39,13.88,24.41,10.53,8.84,73.56,2.35,101.27,2.24,2.59,129.0,3.54,1.3
2005-01-12,17.08,11.42,14.25,17.56,12.25,23.97,11.72,8.33,72.22,0.48,101.46,1.74,2.93,25.7,3.76,2.02
2005-01-13,15.46,10.18,12.82,15.81,13.03,22.66,9.63,7.66,73.81,0.0,101.38,1.63,3.05,325.7,3.96,2.33
2005-01-14,16.01,10.19,13.1,16.15,13.34,23.47,10.13,7.67,71.22,0.0,101.25,1.33,2.45,330.6,3.09,1.76
2005-01-15,16.72,9.49,13.1,16.61,13.06,24.29,11.23,7.33,65.06,0.0,101.27,1.94,2.21,349.0,2.91,0.97
2005-01-16,18.08,10.41,14.24,17.84,12.61,25.01,12.4,7.79,63.0,0.0,101.3,0.84,2.03,358.2,2.36,1.52
2005-01-17,18.03,10.69,14.36,17.38,13.46,24.82,11.36,7.94,64.18,0.0,101.28,1.48,2.0,15.5,2.48,1.0
2005-01-18,18.45,12.25,15.35,18.3,13.18,25.22,12.04,8.82,69.23,0.48,101.3,1.51,2.07,19.8,2.78,1.27
2005-01-19,17.69,13.4,15.54,17.46,9.7,23.51,13.81,9.48,77.3,0.74,101.4,3.15,2.35,337.0,4.05,0.9
2005-01-20,17.23,10.51,13.87,17.43,11.82,23.97,12.15,7.85,67.69,0.0,101.62,1.49,3.06,328.9,3.89,2.4
2005-01-21,15.35,8.08,11.71,15.34,13.0,22.15,9.15,6.61,64.26,0.0,101.88,1.36,3.25,3.3,4.08,2.72
2005-01-22,15.93,9.18,12.56,15.38,12.82,22.68,9.86,7.14,67.16,0.0,101.65,3.04,2.42,345.7,3.45,0.41
2005-01-23,18.02,9.29,13.65,18.11,13.87,25.93,12.06,7.24,59.79,0.39,101.35,4.14,2.32,24.5,4.71,0.57
2005-01-24,18.14,12.67,15.41,18.79,10.74,24.59,13.85,9.02,72.43,0.12,101.5,2.66,2.04,321.5,3.04,0.38
2005-01-25,17.28,10.88,14.08,17.8,11.3,23.83,12.53,8.03,68.38,0.0,101.35,2.12,3.06,324.2,4.11,1.99
2005-01-26,17.5,10.29,13.9,17.95,14.4,25.26,10.86,7.74,66.55,0.0,101.13,0.77,2.98,323.1,3.44,2.67
2005-01-27,18.68,10.11,14.39,18.92,13.29,26.1,12.81,7.66,59.73,0.0,101.08,2.17,2.29,4.6,3.02,0.85
2005-01-28,17.23,9.93,13.58,17.2,10.27,23.1,12.83,7.55,63.79,0.02,101.13,2.48,2.41,15.4,3.6,1.12
2005-01-29,18.4,10.77,14.59,18.84,12.13,25.55,13.42,7.99,63.74,0.11,101.2,2.06,3.08,338.8,4.2,2.14
2005-01-30,18.98,11.14,15.06,19.36,14.78,27.21,12.43,8.18,63.37,0.0,101.28,1.63,3.08,359.0,4.19,2.56
2005-01-31,20.58,11.58,16.08,20.94,16.75,29.5,12.75,8.43,60.72,0.0,101.22,3.87,2.49,349.5,4.9,1.03
2005-02-01,20.3,13.97,17.14,20.86,12.52,27.27,14.75,9.87,69.51,0.19,101.24,2.45,4.13,327.3,5.36,2.91
2005-02-02,18.92,11.85,15.39,19.53,12.05,25.9,13.85,8.69,67.38,0.01,101.35,3.4,3.76,323.4,5.82,2.42
2005-02-03,16.36,7.01,11.69,16.93,14.21,24.15,9.94,6.19,58.25,0.0,101.49,1.42,3.22,334.7,3.81,2.39
2005-02-04,16.25,7.74,11.99,16.91,16.28,25.1,8.82,6.51,62.39,0.0,101.39,1.39,2.99,335.3,3.51,2.12
2005-02-05,17.69,8.11,12.9,17.87,16.18,26.56,10.38,6.68,58.12,0.0,101.26,1.58,2.66,326.2,3.22,1.64
2005-02-06,19.96,8.41,14.19,19.43,15.95,28.26,12.31,6.83,50.09,0.0,101.33,2.37,1.95,21.8,2.96,0.59
2005-02-07,21.59,10.65,16.12,21.44,14.68,29.78,15.1,7.91,52.3,0.0,101.54,2.73,1.83,46.1,3.14,0.41
2005-02-08,21.42,11.81,16.61,21.98,15.34,30.04,14.7,8.53,58.17,0.0,101.59,2.27,3.03,359.3,3.96,1.69
2005-02-09,21.83,13.73,17.78,22.5,15.58,30.12,14.54,9.67,63.49,0.0,101.57,0.82,2.65,337.7,3.04,2.22
2005-02-10,22.35,12.94,17.65,22.71,14.05,30.36,16.31,9.2,58.65,0.0,101.61,1.2,2.87,343.8,3.34,2.14
2005-02-11,22.4,10.76,16.58,22.16,14.54,30.37,15.83,7.96,50.76,0.0,101.51,2.54,2.15,332.6,3.17,0.63
2005-02-12,23.68,11.55,17.61,23.21,15.26,31.91,16.65,8.44,48.45,0.0,101.28,3.2,2.42,255.4,4.2,1.0
2005-02-13,23.95,12.27,18.11,24.13,17.08,33.26,16.18,8.91,53.04,0.01,100.81,3.9,4.5,251.5,6.74,2.84
2005-02-14,23.42,9.71,16.57,23.64,16.29,32.41,16.12,7.64,48.1,0.0,100.61,3.05,4.93,255.8,6.76,3.71
2005-02-15,22.9,12.0,17.45,23.35,15.98,31.22,15.24,8.76,54.96,0.0,100.72,2.72,3.53,239.5,5.15,2.43
2005-02-16,24.86,16.92,20.89,25.48,15.27,32.9,17.63,12.08,66.27,0.53,100.59,3.01,3.71,208.5,5.2,2.19
2005-02-17,25.47,17.94,21.7,26.24,14.02,33.13,19.11,12.91,68.27,2.13,100.77,2.9,2.9,188.7,4.78,1.88
2005-02-18,25.99,19.08,22.54,26.45,11.93,32.57,20.64,13.81,69.95,4.29,100.94,3.92,2.64,182.2,4.36,0.44
2005-02-19,26.81,18.52,22.67,27.2,13.91,33.95,20.04,13.31,64.75,0.35,101.05,2.82,2.01,208.2,3.26,0.44
2005-02-20,26.78,17.69,22.23,27.38,14.1,34.06,19.96,12.61,61.78,0.28,101.04,2.67,2.2,227.7,3.28,0.61
2005-02-21,27.28,15.65,21.47,27.31,14.58,35.24,20.66,11.13,53.59,0.06,101.03,3.9,2.63,261.8,4.29,0.39
2005-02-22,25.35,11.9,18.62,26.36,14.85,33.76,18.91,8.68,47.21,0.25,101.24,3.06,2.81,317.5,4.03,0.97
2005-02-23,23.57,13.35,18.46,24.59,14.22,31.01,16.79,9.47,55.86,0.1,101.23,2.93,3.07,322.6,4.19,1.26
2005-02-24,23.57,12.26,17.92,24.61,13.1,30.93,17.83,8.89,51.96,0.0,101.17,2.32,2.76,340.2,4.1,1.78
2005-02-25,23.0,7.88,15.44,22.84,15.77,30.73,14.96,6.59,39.99,0.0,101.05,2.29,2.65,323.1,3.82,1.53
2005-02-26,24.42,8.49,16.46,24.1,15.99,32.85,16.86,6.88,39.14,0.0,101.06,2.92,2.85,283.0,4.42,1.5
2005-02-27,24.68,7.48,16.08,23.96,14.3,32.4,18.1,6.44,35.88,0.0,101.06,2.92,1.89,321.5,3.39,0.47
2005-02-28,24.02,7.8,15.91,24.33,15.77,32.34,16.57,6.57,38.22,0.0,101.0,2.68,2.27,338.8,3.39,0.71
2005-03-01,24.72,9.26,16.99,24.97,17.2,33.68,16.48,7.25,40.92,0.0,101.05,1.95,2.54,281.8,3.54,1.59
2005-03-02,26.79,10.76,18.77,26.2,16.14,35.35,19.21,8.02,39.4,0.0,101.09,3.89,2.67,244.4,5.02,1.13
2005-03-03,26.99,13.65,20.32,27.4,17.11,36.12,19.01,9.94,50.82,0.0,101.07,3.79,3.0,242.3,4.27,0.48
2005-03-04,27.58,13.52,20.55,27.74,17.8,36.72,18.92,9.83,48.63,0.0,101.17,3.87,2.93,216.3,4.56,0.69
2005-03-05,28.89,18.55,23.72,29.87,16.33,37.49,21.16,13.47,60.41,0.02,101.3,2.94,3.16,184.3,4.52,1.58
2005-03-06,29.59,17.12,23.35,30.57,14.11,37.82,23.71,12.45,53.67,0.01,101.23,3.85,4.15,211.9,6.12,2.27
2005-03-07,28.8,17.93,23.36,29.97,14.52,36.87,22.35,13.06,58.97,0.3,101.27,5.06,3.41,196.5,5.99,0.93
2005-03-08,28.21,17.63,22.92,28.93,12.71,35.08,22.37,12.77,58.33,2.58,101.37,4.19,2.5,221.7,4.83,0.64
2005-03-09,28.24,15.37,21.81,28.96,13.61,35.31,21.7,10.86,48.67,0.17,101.17,2.87,2.35,267.5,3.75,0.88
2005-03-10,28.98,15.36,22.17,29.97,13.61,35.91,22.3,10.84,45.81,0.05,100.95,1.86,2.99,261.3,4.04,2.18
2005-03-11,27.21,16.02,21.62,27.53,9.44,32.62,23.18,11.32,51.85,1.77,100.96,1.6,2.03,267.4,2.79,1.19
2005-03-12,26.17,15.01,20.59,27.15,11.38,32.9,21.52,10.62,52.75,1.15,101.07,5.08,2.88,296.1,6.06,0.98
2005-03-13,26.34,13.35,19.85,27.94,15.67,34.59,18.92,9.52,49.01,0.0,101.13,3.0,2.59,352.5,4.2,1.2
2005-03-14,27.47,13.15,20.31,28.76,14.65,34.91,20.26,9.4,44.27,0.0,100.91,1.55,1.97,324.0,2.88,1.33
2005-03-15,27.43,11.95,19.69,28.59,14.77,34.97,20.2,8.72,41.06,0.02,100.82,2.1,2.16,265.8,3.29,1.19
2005-03-16,27.4,15.88,21.64,29.04,14.39,34.49,20.1,11.32,54.6,0.0,101.04,2.88,2.81,187.9,4.44,1.56
2005-03-17,28.62,16.36,22.49,29.95,13.45,35.14,21.69,11.57,50.7,0.05,101.08,3.38,2.03,197.9,4.24,0.86
2005-03-18,28.43,18.16,23.3,29.62,12.13,34.39,22.26,12.97,55.97,1.94,100.97,2.35,2.01,206.9,2.7,0.35
2005-03-19,29.65,17.68,23.66,30.76,12.79,35.63,22.84,12.58,50.83,1.15,100.85,2.12,1.79,179.8,2.35,0.23
2005-03-20,29.65,18.0,23.82,30.45,14.01,36.9,22.89,12.9,52.67,4.03,100.64,2.63,3.28,208.6,4.72,2.09
2005-03-21,29.88,18.81,24.34,30.47,15.35,38.26,22.91,13.78,57.42,3.85,100.45,3.91,4.22,204.3,5.68,1.77
2005-03-22,29.93,20.4,25.16,30.81,13.65,37.48,23.83,15.13,62.02,3.9,100.41,2.64,5.68,178.8,7.0,4.36
2005-03-23,28.09,22.5,25.29,28.78,9.16,33.48,24.32,17.06,73.78,12.92,100.46,4.4,5.65,175.7,7.91,3.51
2005-03-24,24.43,21.37,22.9,24.51,6.49,28.56,22.07,15.87,83.84,34.73,100.69,8.44,5.07,176.7,9.55,1.11
2005-03-25,25.23,16.51,20.87,26.25,12.52,31.7,19.18,11.85,62.8,4.01,100.7,3.38,2.61,293.2,4.32,0.94
2005-03-26,26.57,15.88,21.22,27.0,13.52,32.66,19.14,11.31,53.89,2.11,100.75,3.71,2.48,181.0,4.24,0.53
2005-03-27,27.66,15.71,21.68,27.85,14.45,34.94,20.49,11.4,55.11,1.64,100.71,3.39,2.19,224.7,3.89,0.5
2005-03-28,27.39,20.33,23.86,28.03,11.91,34.06,22.15,14.93,69.03,9.79,100.65,2.02,4.22,187.3,5.5,3.48
2005-03-29,28.25,20.09,24.17,29.32,12.59,35.15,22.56,14.74,65.69,1.01,100.65,3.33,4.37,177.7,6.42,3.09
2005-03-30,27.68,22.35,25.02,28.29,10.55,33.78,23.23,16.85,74.51,49.29,100.67,1.99,3.58,177.9,4.65,2.66
2005-03-31,26.74,21.84,24.29,27.09,8.6,30.99,22.39,16.34,76.04,15.28,100.65,3.17,2.06,217.3,3.75,0.58
2005-04-01,28.12,19.98,24.05,28.73,11.83,33.88,22.05,14.61,64.35,0.11,100.7,2.32,1.34,176.1,2.42,0.1
2005-04-02,28.21,17.21,22.71,28.73,14.74,35.65,20.91,12.27,55.76,0.08,100.84,2.53,2.01,80.7,3.1,0.57
2005-04-03,28.36,15.08,21.72,28.68,16.13,36.4,20.27,10.68,48.33,0.76,100.89,2.86,1.87,92.1,3.13,0.27
2005-04-04,26.84,16.08,21.46,27.41,14.15,34.5,20.35,11.38,56.0,4.1,100.99,2.89,1.72,80.8,3.11,0.22
2005-04-05,27.7,18.56,23.13,28.82,14.74,34.62,19.88,13.29,60.2,0.0,101.05,2.84,2.17,140.9,4.01,1.17
2005-04-06,28.42,20.71,24.57,29.53,11.29,34.08,22.79,15.24,66.06,1.24,100.9,2.53,2.78,177.8,4.14,1.61
2005-04-07,29.14,20.6,24.87,30.0,12.88,36.08,23.2,15.2,63.98,0.13,100.71,3.08,4.73,194.0,6.46,3.38
2005-04-08,29.29,21.28,25.29,30.25,12.53,36.19,23.66,15.84,65.88,0.02,100.73,3.3,4.87,188.7,6.67,3.37
2005-04-09,29.45,22.39,25.92,30.53,12.47,36.09,23.62,16.92,69.19,0.53,100.69,2.34,4.6,182.5,5.75,3.41
2005-04-10,29.01,24.11,26.56,29.94,9.31,34.06,24.75,18.77,76.89,11.96,100.69,3.26,3.3,182.1,5.25,1.99
2005-04-11,28.2,23.67,25.94,28.99,7.86,33.0,25.14,18.27,78.03,6.01,100.75,2.53,3.59,186.3,4.92,2.39
2005-04-12,29.09,15.3,22.2,28.85,12.23,35.97,23.74,11.83,52.56,3.6,100.85,2.77,2.47,257.0,4.06,1.29
2005-04-13,27.54,12.33,19.94,27.47,17.12,35.64,18.52,9.22,46.43,0.0,100.96,2.38,2.05,131.3,3.17,0.79
